internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
IRONYCURTAINFROMMATRYOSHKAWITHLOVE,Irony Curtain: From Matryoshka with Love,/game/pc/irony-curtain-from-matryoshka-with-love,NR5cDKlPj2qs9BXDIhKfAzYTxcXVTkpVwAdXqfPDqRc%3D,1,201096,1.99,19.99,1,90.045023,81,Very Positive,87,283,866190,1557964800,1664824808,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/866190/capsule_sm_120.jpg?t=1561708419
PRINCEOFPERSIATHETWOTHRONES,Prince of Persia: The Two Thrones,/game/pc/prince-of-persia-the-two-thrones,2QqCv7qHzVAScckz0X4sOVeB%2F08naBroZIJzMKXzPIw%3D,1,347,1.99,9.99,1,80.080080,85,Mostly Positive,78,1314,13530,1133395200,1665075708,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/13530/capsule_sm_120.jpg?t=1447351264
SYBERIAII,Syberia II,/game/pc/syberia-ii,Yey%2Fi78E%2BSiyxOrAtL13Dm79ni0XbBMcpQpIyHuoPYE%3D,1,339,1.29,12.99,1,90.069284,80,Very Positive,87,1228,46510,1080604800,1664823904,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/46510/capsule_sm_120.jpg?t=1632846200
CRAZYMACHINES3,Crazy Machines 3,/game/pc/crazy-machines-3,eTCsKZAhBEYSDPwX6qgvrOuAPKEnColvW7d25IGMifY%3D,1,155407,0.99,9.99,1,90.090090,71,Very Positive,94,6461,351920,1476748800,1665077218,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/351920/capsule_sm_120.jpg?t=1642456792
TOTALWARSHOGUN2,Total War: SHOGUN 2,/game/pc/total-war-shogun-2,jFVI38mQYZ7dXFtgt5xEbnfGoxi61820AvVF%2BhQZkO4%3D,1,44,7.49,29.99,1,75.025008,90,Very Positive,91,27142,201270,1300147200,1665100886,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/201270/capsule_sm_120.jpg?t=1603131194
THELASTTINKERCITYOFCOLORS,The Last Tinker: City of Colors,/game/pc/the-last-tinker-city-of-colors,bSjXzOdZGVFPRpHNE33HiHvvs0qFt57uafUMNA0oS14%3D,1,108708,1.99,19.99,1,90.045023,72,Mostly Positive,77,621,260160,1399852800,1665082036,8.9,https://cdn.cloudflare.steamstatic.com/steam/apps/260160/capsule_sm_120.jpg?t=1562761908
DEADSYNCHRONICITYTOMORROWCOMESTODAY,Dead Synchronicity: Tomorrow Comes Today,/game/pc/dead-synchronicity-tomorrow-comes-today,P0ZkzFUkGsC%2FYSnV8O%2Fhd2YZkaX567HK815T%2Fi1OG0Q%3D,1,142961,0.99,9.99,1,90.090090,70,Very Positive,83,856,339190,1428624000,1665080670,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/339190/capsule_sm_120.jpg?t=1562751637
VALHALLAHILLS,Valhalla Hills,/game/pc/valhalla-hills,xM5gFgcqehGGzGwtL7h2gSgpFbw6dhmNzPr0aNOPPt8%3D,1,145558,0.69,6.99,1,90.128755,69,Mixed,60,607,351910,1449014400,1665083148,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/351910/capsule_sm_120.jpg?t=1578501348
ANIMADDICTS4,Animaddicts 4,/game/pc/animaddicts-4,Sp0MLhPN8tqEWKpDwTKKVud65H5lO27G3HCLbnhQcoM%3D,1,243981,1.99,19.99,1,90.045023,0,,0,0,1949930,1650412800,1664916920,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1949930/capsule_sm_120.jpg?t=1654099352
ANIMADDICTS3,Animaddicts 3,/game/pc/animaddicts-3,DjuzyMj6qXYE0%2F4Ts1x6q1ay6OU%2BXAMboL9vidhnSTM%3D,1,243967,1.99,19.99,1,90.045023,0,,0,0,1936050,1650326400,1664916244,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/1936050/capsule_sm_120.jpg?t=1650417595
NINOKUNIIIREVENANTKINGDOM,Ni no Kuni II: Revenant Kingdom,/game/pc/ni-no-kuni-ii-revenant-kingdom,mUJiiBZYI0a3aCgRu9wpLmT2ZfT0K0fQS%2FKzIQb3LUk%3D,1,171779,8.99,59.99,1,85.014169,81,Very Positive,83,6716,589360,1521763200,1665100831,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/589360/capsule_sm_120.jpg?t=1605602933
HOLYPOTATOESAWEAPONSHOP,Holy Potatoes! A Weapon Shop?!,/game/pc/holy-potatoes!-a-weapon-shop!,8Qubu0dkEUuvUGaDYbxXIgPXpf1E7CVy6IIzQTsvlfI%3D,1,144875,0.99,9.99,1,90.090090,69,Mostly Positive,72,1064,363600,1436745600,1665080529,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/363600/capsule_sm_120.jpg?t=1569148228
FALLOUT3,Fallout 3,/game/pc/fallout-3,xZ%2BIyL4wQ1FRXV7WtHT8SUyLjjDYIMR2HQgbEYNJj%2B4%3D,1,166,2.49,9.99,1,75.075075,91,Mostly Positive,78,14418,22300,1225152000,1664924732,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/22300/capsule_sm_120.jpg?t=1665072658
AERMEMORIESOFOLD,AER  Memories of Old,/game/pc/aer-memories-of-old,y0%2FW4f0JYkCIhnGUTnVBV8l6XyXfQC6p3EMzEfXAJ0o%3D,1,173675,1.49,14.99,1,90.060040,69,Very Positive,87,3564,331870,1508889600,1665077036,8.8,https://cdn.cloudflare.steamstatic.com/steam/apps/331870/capsule_sm_120.jpg?t=1622216835
MORTALKOMBATXL,Mortal Kombat XL,/game/pc/mortal-kombat-xl,PWjv3eUkcTlZYYIuPOHA5HkD7DX22852FfANriPGrz0%3D,1,160047,5.99,29.99,1,80.026676,84,Very Positive,85,30598,128345,1475539200,1665177283,8.8,https://cdn.cloudflare.steamstatic.com/steam/subs/128345/capsule_sm_120.jpg?t=1586883747
JOEDANGER2THEMOVIE,Joe Danger 2: The Movie,/game/pc/joe-danger-2-the-movie,iDT6jPYn7qH4gC%2FYq%2BLd8m5YqFiSnGBoN0o3uELzVnA%3D,1,99636,2.99,14.99,1,80.053369,82,Very Positive,83,54,242110,1372032000,1665103053,8.7,https://cdn.cloudflare.steamstatic.com/steam/apps/242110/capsule_sm_120.jpg?t=1595318077
THELONGJOURNEYHOME,The Long Journey Home,/game/pc/the-long-journey-home,PmqEaUl%2FT%2FNuKwDQk04LKfZ7mGsOup0TyQDxD4Gy6FU%3D,1,165652,0.99,9.99,1,90.090090,68,Mixed,59,1207,366910,1496102400,1665080672,8.7,https://cdn.cloudflare.steamstatic.com/steam/apps/366910/capsule_sm_120.jpg?t=1579272404
BLACKGUARDS,Blackguards,/game/pc/blackguards,b3i1%2BPEnZsWXh7%2B3AVvE2mKJK3yCXfiRlrLoQ3TkFyE%3D,1,102695,0.99,9.99,1,90.090090,68,Mixed,63,2617,249650,1383696000,1665077621,8.7,https://cdn.cloudflare.steamstatic.com/steam/apps/249650/capsule_sm_120.jpg?t=1586868971
